#{"t_start": 1763007255.5148275, "env_id": "None"}
r,l,t
8304.275697,5001,64.734638
-13156.312947,5001,124.876682
-34825.571006,5001,181.672488
5867.472654,5001,239.098683
-966.084798,5001,302.194289
13234.567748,5001,359.313722
29106.898665,5001,416.172328
26746.532098,5001,473.339746
30828.594225,5001,530.44874
29877.216946,5001,593.599161
30647.622177,5001,650.709294
20747.584538,5001,707.540867
32507.967005,5001,764.734664
32158.416628,5001,827.96518
30983.539693,5001,884.879505
33288.651697,5001,941.735727
34502.240341,5001,998.725996
35040.0918,5001,1054.90283
34412.708949,5001,1117.529768
35465.603016,5001,1175.598871
35798.101297,5001,1232.788417
36002.37395,5001,1288.968481
36199.733666,5001,1350.979207
36377.391647,5001,1406.744995
36561.116211,5001,1462.918028
