#{"t_start": 1763007255.1462455, "env_id": "None"}
r,l,t
-7837.695136,5001,65.101184
6346.276808,5001,125.241093
-6852.004018,5001,182.03898
-56478.348696,5001,239.458863
14671.114518,5001,302.555921
26250.507022,5001,359.680385
23994.364251,5001,416.535997
30515.511457,5001,473.705172
29097.654386,5001,530.813214
23378.784776,5001,593.960914
24793.658764,5001,651.070199
29457.116627,5001,707.9048
30347.721318,5001,765.097564
31125.653821,5001,828.331749
32052.854363,5001,885.243743
33601.48879,5001,942.109359
33952.24257,5001,999.090465
34873.221574,5001,1055.261691
34952.084214,5001,1117.893656
35389.346292,5001,1175.964202
35584.223064,5001,1233.152167
35873.721047,5001,1289.331972
36384.354277,5001,1351.34297
36187.817132,5001,1407.106529
36222.042115,5001,1463.282723
