#{"t_start": 1763007255.3423657, "env_id": "None"}
r,l,t
-2918.454808,5001,64.907979
10807.326717,5001,125.048967
-30685.245726,5001,181.8498
-12349.811152,5001,239.270921
25887.415134,5001,302.367022
17304.402615,5001,359.490738
27104.608091,5001,416.342434
28484.354433,5001,473.511286
27564.583399,5001,530.623495
27463.448925,5001,593.769276
26235.334891,5001,650.881032
31135.461468,5001,707.717588
31098.530203,5001,764.909837
30687.39312,5001,828.144182
32522.040091,5001,885.056256
33590.624559,5001,941.916835
33937.490155,5001,998.900904
34089.337364,5001,1055.075099
34863.806383,5001,1117.702243
35744.906247,5001,1175.773303
35835.394647,5001,1232.960901
35675.639496,5001,1289.138696
36221.203977,5001,1351.151295
36455.330989,5001,1406.917511
36373.420285,5001,1463.092142
