#{"t_start": 1762984347.0819442, "env_id": "None"}
r,l,t
-8532510.849224,5001,68.009636
-6326914.22993,5001,129.025128
-9981115.956684,5001,188.895106
-10380228.84684,5001,249.125933
-3309743.186428,5001,312.285082
-9397227.026922,5001,372.476886
-6788217.659187,5001,432.529838
-6983221.147298,5001,492.563574
-5289312.358431,5001,552.529807
-6817688.104989,5001,613.802717
-4911540.909826,5001,670.268965
-3858108.633167,5001,726.881505
-3016239.489584,5001,784.144782
-7824529.875587,5001,844.320223
-2249278.890981,5001,901.803738
