#{"t_start": 1762984347.5618718, "env_id": "None"}
r,l,t
-11610232.664185,5001,67.527997
-3402328.706735,5001,128.54398
-8933889.727425,5001,188.412097
-413770.451425,5001,248.64283
-7130565.96689,5001,311.801718
-1336646.654621,5001,371.994313
-2841271.215446,5001,432.049952
-6390496.49062,5001,492.080302
-4984089.167457,5001,552.044092
-6406848.390095,5001,613.32249
-5770904.486083,5001,669.780822
-4901359.801445,5001,726.397694
-6580537.828567,5001,783.661592
-3365939.391453,5001,843.836874
-3816975.310214,5001,901.32234
