#{"t_start": 1762984347.6483476, "env_id": "None"}
r,l,t
-10817332.00512,5001,67.43941
-10779612.786914,5001,128.454473
-14547006.574102,5001,188.319852
-11820093.443251,5001,248.552655
-5668254.597912,5001,311.712534
-7865303.965348,5001,371.901186
-6069101.424446,5001,431.955813
-7519987.247824,5001,491.990481
-4219234.076804,5001,551.953889
-7475701.208865,5001,613.230387
-5846476.69972,5001,669.693457
-7263490.869308,5001,726.307647
-5057527.145496,5001,783.573899
-2580180.753973,5001,843.745943
-3163494.945401,5001,901.232565
