#{"t_start": 1762997671.9993064, "env_id": "None"}
r,l,t
64462.271407,5001,62.671885
29361.736841,5001,119.824744
46502.29986,5001,177.231355
59209.756035,5001,234.727211
-35169.061887,5001,298.29897
23137.544213,5001,355.982782
56346.50884,5001,413.356449
41134.632277,5001,470.786271
40484.905864,5001,528.337385
51786.796279,5001,591.933869
-3190494.441125,5001,650.829516
-2448121.54021,5001,709.45522
-191706.480307,5001,766.804032
-26482.530102,5001,830.104327
11357.233807,5001,887.486503
53902.126969,5001,944.616867
33147.95183,5001,1001.639778
30558.403327,5001,1058.971133
53652.962643,5001,1122.409862
34196.540184,5001,1179.629657
61015.467825,5001,1237.068313
64500.011227,5001,1294.414275
72370.244742,5001,1357.632762
69215.733355,5001,1414.946668
74698.438922,5001,1472.688018
73301.827181,5001,1529.986949
82437.707588,5001,1587.604743
75273.133853,5001,1650.667241
78721.192078,5001,1707.880051
80929.827101,5001,1764.997435
85989.955849,5001,1822.215144
86204.943052,5001,1885.263318
89070.010586,5001,1942.61728
87355.510277,5001,1999.837238
87640.6137,5001,2057.259425
88880.739252,5001,2114.279844
90713.420739,5001,2177.70666
