#{"t_start": 1762980255.7741754, "env_id": "None"}
r,l,t
-5944224.252049,5001,49.521532
-9239567.498456,5001,97.614104
-4988038.277158,5001,144.107631
-3735506.86763,5001,190.426934
-4935312.413479,5001,239.263066
-3344547.850924,5001,286.947589
-3275278.286057,5001,333.540724
-4442009.493019,5001,377.924674
-5667423.991905,5001,422.366693
-4352092.936659,5001,469.086884
-4488817.119535,5001,513.516854
-2074560.805506,5001,557.964166
-2917030.815056,5001,602.412359
-2875568.828268,5001,649.138063
-2057869.950737,5001,693.659021
-4885245.180475,5001,738.101734
-370069.096823,5001,782.540647
-473443.102137,5001,826.880618
-1010946.093605,5001,873.538215
-1007861.152705,5001,918.028161
-509630.042581,5001,962.54265
-232621.103563,5001,1007.164674
-120882.413393,5001,1053.865903
-1944495.545102,5001,1098.343472
-152160.897129,5001,1142.808956
-304120.242871,5001,1187.25196
-88515.462992,5001,1231.53746
29886.224087,5001,1277.876656
30767.942125,5001,1322.272381
-336775.55073,5001,1366.571017
22849.416212,5001,1410.747299
39514.020179,5001,1457.139847
71180.951623,5001,1501.350947
