#{"t_start": 1762980255.362858, "env_id": "None"}
r,l,t
-3673448.013431,5001,49.930702
-4406542.180621,5001,98.022436
-1409523.522255,5001,144.515667
-5693239.370402,5001,190.837663
-3333379.382495,5001,239.673677
-4858735.5711,5001,287.356122
-3869636.72593,5001,333.949116
-4689954.520204,5001,378.326853
-4962490.779456,5001,422.775253
-2857641.722179,5001,469.497233
-2889955.331287,5001,513.925233
-5209805.953068,5001,558.372236
-2412941.247111,5001,602.821429
-5305012.634656,5001,649.546603
-901243.322414,5001,694.063753
-1326440.444145,5001,738.509538
-867489.543187,5001,782.953672
-451228.078476,5001,827.286924
-2237381.549799,5001,873.946204
-643356.577024,5001,918.436517
-29875.712869,5001,962.946203
-905427.196269,5001,1007.573025
-513018.865822,5001,1054.274331
-710966.318677,5001,1098.745399
6518.582102,5001,1143.214059
-124979.652744,5001,1187.66061
-14485.309927,5001,1231.942364
-30615.613204,5001,1278.284652
53426.796294,5001,1322.68064
37166.461648,5001,1366.978361
58229.699055,5001,1411.155142
48288.407412,5001,1457.542462
-23217.947258,5001,1501.759063
