#{"t_start": 1763004110.0332706, "env_id": "None"}
r,l,t
-149555.768695,5001,68.557167
-64116.638262,5001,129.015209
3825.815857,5001,188.425849
-349.849388,5001,247.651044
6597.151839,5001,313.366821
13510.407349,5001,372.089851
12059.781744,5001,431.049772
6876.636707,5001,490.130803
12880.411902,5001,549.447395
103.579188,5001,615.024532
18791.411093,5001,674.050918
17341.383924,5001,733.044221
20593.916087,5001,791.742571
21016.518202,5001,856.990089
20526.852818,5001,915.927354
21656.587196,5001,974.758866
21511.340883,5001,1033.672202
22488.988249,5001,1092.179703
23071.214481,5001,1157.653001
23020.706148,5001,1216.744518
23825.349459,5001,1275.736094
23800.827827,5001,1334.591353
23542.058312,5001,1400.107316
24054.036364,5001,1459.027623
24105.96817,5001,1518.12787
