#{"t_start": 1763004110.3811057, "env_id": "None"}
r,l,t
-14294.583525,5001,68.204695
-11597.398446,5001,128.662886
-1658.37749,5001,188.074313
4994.400358,5001,247.295565
8912.15213,5001,313.014282
10312.794351,5001,371.736333
15267.047873,5001,430.69642
7459.609419,5001,489.775664
12708.232267,5001,549.090951
18364.85495,5001,614.66937
19334.993887,5001,673.694201
14022.347476,5001,732.686947
18332.782809,5001,791.384456
19951.909329,5001,856.63267
20795.395389,5001,915.574515
22211.123969,5001,974.400676
20642.27718,5001,1033.313335
22561.059405,5001,1091.825873
22997.958655,5001,1157.300795
23155.423083,5001,1216.386665
23187.975412,5001,1275.381703
23532.015741,5001,1334.23483
23607.141632,5001,1399.750468
23884.757346,5001,1458.668311
23746.461688,5001,1517.77191
