#{"t_start": 1763004104.6915865, "env_id": "None"}
r,l,t
-16711.565731,5001,73.892638
-1669.243927,5001,134.352028
3905.290939,5001,193.761979
1876.392964,5001,252.987448
6148.65685,5001,318.703632
9600.087694,5001,377.425608
-1510.589388,5001,436.387571
16255.494286,5001,495.464861
12479.138223,5001,554.778224
5577.29971,5001,620.356848
16038.103008,5001,679.383482
18973.989462,5001,738.374977
18431.500823,5001,797.073417
19865.142604,5001,862.320203
20799.478198,5001,921.263044
22203.495249,5001,980.088847
21671.97981,5001,1039.002251
22669.87701,5001,1097.513234
23061.369473,5001,1162.989775
22457.531384,5001,1222.075375
23424.97153,5001,1281.070978
23636.703092,5001,1339.923398
23779.700428,5001,1405.439463
24025.797141,5001,1464.356945
24133.424978,5001,1523.460752
