#{"t_start": 1762987512.3390923, "env_id": "None"}
r,l,t
-11068786.992862,5001,66.181411
-11368601.782527,5001,125.990666
-4433958.765014,5001,185.182425
-7757018.135886,5001,243.90839
-13537290.529695,5001,309.147109
-13138715.278509,5001,368.041635
-13199287.450983,5001,427.051341
-15242233.357869,5001,486.861082
-12727981.452342,5001,545.61544
-6828079.347288,5001,611.409647
-12866160.588926,5001,670.336878
-6215512.347886,5001,729.738587
-9057883.641473,5001,788.670769
-10857028.574497,5001,856.345291
-6569411.475012,5001,917.182222
-4590997.436787,5001,977.581895
-13661750.973212,5001,1037.228799
-1930455.325514,5001,1097.661498
-5796805.392425,5001,1165.238658
-14273259.795392,5001,1226.838633
-2790667.038585,5001,1287.658153
-22135115.648018,5001,1348.424366
-8172578.673325,5001,1415.644811
-20529672.804314,4425,1470.323671
-8469229.381176,5001,1530.868458
-33518422.176261,5001,1591.525189
-19470756.083131,5001,1651.954952
-8859379.72416,5001,1718.128078
-4671712.920893,5001,1777.694085
-3048352.646212,5001,1837.395166
