#{"t_start": 1762987513.7102273, "env_id": "None"}
r,l,t
-8059613.480147,5001,64.803854
-10302970.655908,5001,124.621936
-10382530.199423,5001,183.808238
-2387064.384501,5001,242.542169
-13209278.310225,5001,307.777665
-14164719.625718,5001,366.671516
-14357674.818994,5001,425.684123
-10181124.920951,5001,485.496416
-8332150.644418,5001,544.247842
-13683693.325822,5001,610.042808
-6137331.72056,5001,668.966359
-7686886.23586,5001,728.368033
-7661388.767835,5001,787.306115
-5178646.912614,5001,854.976684
-17005410.182015,5001,915.81671
-23056443.425077,5001,976.205775
-10263655.023774,5001,1035.860241
-95752803.172317,5001,1096.29126
-3107570.595565,5001,1163.870941
-5670740.705315,5001,1225.468531
-1378309.999799,5001,1286.295983
-6654915.779867,5001,1347.0543
-1516077.713144,5001,1414.269199
-2537455.430641,5001,1475.306482
-2917972.979408,5001,1535.796919
-2556093.239016,5001,1596.464688
-16538314.043937,5001,1656.845026
-2233232.211641,5001,1722.934232
-5168866.40035,5001,1782.470164
-5114498.251588,5001,1842.316889
