#{"t_start": 1762987514.8286424, "env_id": "None"}
r,l,t
-8993157.275484,5001,63.690972
-6921909.229006,5001,123.509693
-11230222.485079,5001,182.694691
-11597834.306238,5001,241.422187
-8941586.53403,5001,306.666341
-10609800.440392,5001,365.558315
-8513702.911571,5001,424.565435
-9018671.552799,5001,484.374292
-5200003.085562,5001,543.134624
-10987755.99876,5001,608.929033
-18093143.12081,5001,667.854369
-11828633.209755,5001,727.258581
-8497560.144619,5001,786.192321
-10958089.789504,5001,853.865059
-8313247.962021,5001,914.699582
-14772579.86137,5001,975.091201
-7935189.845031,5001,1034.748396
-10597196.760461,5001,1095.181612
-2099238.558159,5001,1162.7536
-1463110.283168,5001,1224.353377
-1581916.555897,5001,1285.176021
-1370113.65648,5001,1345.940976
-8618103.658828,5001,1413.158693
-7760462.156996,5001,1474.190652
-20410669.210027,5001,1534.684378
-2380704.334884,5001,1595.348335
-22199254.005864,5001,1655.735453
-1226287.949792,5001,1721.812949
-9605480.819154,5001,1781.355905
-2926428.012694,5001,1841.201074
