#{"t_start": 1763059800.0866034, "env_id": "None"}
r,l,t
1348485.992688,5001,72.844492
1235347.769687,5001,141.916466
1350430.041274,5001,211.541035
1244888.561914,5001,280.902804
1261370.942342,5001,355.202773
1347422.318701,5001,422.261819
1372838.149078,5001,491.283187
1295983.702059,5001,557.317152
1400009.334051,5001,623.639289
1431018.544961,5001,696.641382
1421537.684955,5001,763.228245
1442844.718416,5001,829.890776
1450214.018951,5001,896.602219
1458060.198392,5001,969.431352
1470076.37321,5001,1038.508432
1471244.371589,5001,1104.30586
1476042.675046,5001,1170.752609
1481717.768194,5001,1236.82306
1482684.220752,5001,1309.214499
1483822.674027,5001,1375.653168
1484701.706836,5001,1441.959133
1486913.176602,5001,1508.524011
1486973.341028,5001,1583.5124
1487690.311415,5001,1649.829569
1487622.541578,5001,1715.907168
1489040.766734,5001,1782.246667
1489049.095822,5001,1848.391235
1487142.641346,5001,1921.090409
1490264.825354,5001,1987.567972
1489781.82845,5001,2053.916784
1489964.415025,5001,2122.6956
1489743.991307,5001,2194.774748
1490365.213126,5001,2260.839561
1490528.557158,5001,2326.969665
1491203.73026,5001,2393.474597
1491210.839767,5001,2459.768449
1491454.218804,5001,2532.299288
1491009.630118,5001,2598.739406
1491287.078996,5001,2667.743222
1492052.190186,5001,2733.50184
1491885.425576,5001,2805.678813
1492195.468819,5001,2872.017706
1492391.43006,5001,2938.119067
1492287.173704,5001,3004.375792
1492312.273688,5001,3070.609064
1492318.601309,5001,3143.017812
1492591.085087,5001,3211.758161
1492655.249815,5001,3277.792906
1492886.166714,5001,3343.937103
1492615.863787,5001,3416.632598
1492657.169662,5001,3482.954551
1492837.564723,5001,3549.106412
1492851.282807,5001,3615.559363
1492849.628276,5001,3681.909798
1492831.24334,5001,3756.65322
1492938.985866,5001,3822.716853
1493047.528515,5001,3888.797154
1493122.304059,5001,3955.217412
1493189.814814,5001,4027.874911
1493322.545337,5001,4094.208112
1492990.908991,5001,4160.429848
1493122.978316,5001,4226.846765
1493381.028537,5001,4295.646332
