#{"t_start": 1763059799.646208, "env_id": "None"}
r,l,t
1334076.89743,5001,73.276896
1331890.330192,5001,142.351222
1336758.801821,5001,211.973401
1345175.484558,5001,281.33426
970360.316186,5001,355.63443
1359897.597973,5001,422.693912
1376295.903738,5001,491.715233
1379335.101077,5001,557.748866
1351719.914658,5001,624.07145
1340281.85198,5001,697.077562
1441069.669499,5001,763.653831
1423248.675009,5001,830.317478
1453248.530979,5001,897.032893
1464069.217822,5001,969.864442
1465682.754035,5001,1038.936383
1475506.973321,5001,1104.739691
1468334.272979,5001,1171.187624
1479543.266451,5001,1237.250758
1481594.011942,5001,1309.646067
1469060.093854,5001,1376.0866
1485544.503183,5001,1442.387481
1485952.96103,5001,1508.958289
1487664.946195,5001,1583.944351
1488058.529883,5001,1650.260522
1487681.729761,5001,1716.335471
1488863.871899,5001,1782.677771
1489041.565067,5001,1848.824469
1489475.639935,5001,1921.524224
1490242.519239,5001,1987.999858
1490442.005464,5001,2054.343298
1489142.568323,5001,2123.123355
1490803.088825,5001,2195.202592
1490717.637249,5001,2261.265247
1491416.329927,5001,2327.403689
1491404.981024,5001,2393.902103
1491071.972761,5001,2460.199728
1490501.046448,5001,2532.727324
1491618.813505,5001,2599.170383
1491321.405795,5001,2668.171359
1491881.979498,5001,2733.928243
1492253.201877,5001,2806.110676
1492162.488193,5001,2872.448958
1492205.142618,5001,2938.546765
1492238.932295,5001,3004.800639
1492348.465886,5001,3071.036291
1491741.791141,5001,3143.448448
1492368.066557,5001,3212.189706
1492236.546111,5001,3278.223255
1492261.545139,5001,3344.35797
1492471.216499,5001,3417.061863
1492375.494554,5001,3483.385441
1492922.376844,5001,3549.538826
1492865.354598,5001,3615.990394
1492914.346555,5001,3682.339807
1493042.823172,5001,3757.083748
1492770.178788,5001,3823.148232
1492494.511148,5001,3889.22325
1493128.210672,5001,3955.648483
1493011.69806,5001,4028.304915
1493003.570283,5001,4094.636126
1492555.253385,5001,4160.857237
1493197.445708,5001,4227.280701
1493317.233917,5001,4296.072102
