#{"t_start": 1763051281.0902915, "env_id": "None"}
r,l,t
900548.104004,5001,76.95221
1188981.167353,5001,150.320618
974915.142965,5001,224.012933
1175383.642972,5001,297.211502
1200403.551902,5001,375.881401
1131657.59241,5001,448.20294
1277671.58266,5001,522.409784
1308813.039674,5001,593.505329
1299759.285369,5001,664.613825
1204409.381486,5001,741.588807
1207207.073711,5001,813.385387
1209087.842345,5001,884.698581
1271789.902603,5001,955.296873
1360488.623543,5001,1032.399705
1316134.130611,5001,1105.571472
1314157.448795,5001,1175.839453
1366433.345315,5001,1246.985888
1377797.77714,5001,1322.597191
1389373.673262,5001,1407.006762
1355279.868121,5001,1483.656888
1370515.949935,5001,1559.52003
1364841.826416,5001,1636.393282
1408931.870789,5001,1721.717765
1387504.28677,5001,1795.209505
1412647.742649,5001,1868.551652
