#{"t_start": 1763051281.8769972, "env_id": "None"}
r,l,t
998728.172593,5001,76.174537
1222651.586998,5001,149.536687
1073157.573089,5001,223.235749
1182031.660144,5001,296.432361
1159584.854931,5001,375.102036
1035953.533585,5001,447.42881
1132240.056677,5001,521.634087
1123529.131368,5001,592.72601
1121892.31937,5001,663.833461
1158740.19767,5001,740.818823
1258629.473413,5001,812.609395
1329542.669551,5001,883.921984
1352245.839468,5001,954.522712
1365120.771423,5001,1031.620061
1325241.198713,5001,1104.794506
1352644.802551,5001,1175.060321
1375099.054619,5001,1246.21417
1351333.054947,5001,1321.825451
1380366.340419,5001,1406.23059
1350088.770128,5001,1482.876897
1354886.858546,5001,1558.740286
1366544.210859,5001,1635.617459
1391300.762061,5001,1720.947538
1411194.912232,5001,1794.429595
1415251.258463,5001,1867.768539
