#{"t_start": 1763051284.2191048, "env_id": "None"}
r,l,t
896358.377344,5001,73.828116
898337.508187,5001,147.196747
885526.287232,5001,220.887975
1298571.90561,5001,294.091382
1193606.543506,5001,372.761742
1184483.13119,5001,445.078627
1116445.723028,5001,519.291621
1303401.47737,5001,590.390708
1286867.424032,5001,661.488848
1321054.93938,5001,738.468031
1322704.971607,5001,810.263377
1310884.815289,5001,881.572986
1270544.122637,5001,952.176984
1353212.282789,5001,1029.280166
1356633.093879,5001,1102.457255
1366721.054496,5001,1172.711224
1337859.657674,5001,1243.866927
1351468.082792,5001,1319.473976
1351151.862334,5001,1403.889159
1368738.268628,5001,1480.53137
1369870.675084,5001,1556.397887
1386583.887725,5001,1633.268702
1386201.714793,5001,1718.596003
1390995.105218,5001,1792.089908
1402913.620844,5001,1865.430401
