#{"t_start": 1762985476.059484, "env_id": "None"}
r,l,t
-11502082.862341,5001,60.02268
-9893471.463149,5001,116.027877
-8516685.530091,5001,172.041755
-10511692.431126,5001,227.894798
-8749949.805402,5001,286.475617
-8034552.343485,5001,342.456291
-10323271.822314,5001,398.386286
-7292603.87541,5001,454.282323
-7438284.740713,5001,510.061741
-2655586.903862,5001,568.957066
-1392916.68211,5001,625.146563
-6423612.695982,5001,681.51754
-6031464.686237,5001,737.4579
-3673912.123937,5001,796.353722
-407340.574973,5001,852.237956
-1181046.177378,5001,912.053257
-1609454.844977,5001,970.963601
-173485.105669,5001,1032.872436
-1463642.551408,5001,1095.660101
-602802.144909,5001,1156.756967
-665409.593132,5001,1219.397899
-119383.145253,5001,1278.189047
-668676.264674,5001,1337.024189
-252232.695974,5001,1393.158435
-111209.201737,5001,1449.195333
24032.665441,5001,1505.261668
-45300.848249,5001,1560.990242
28998.427689,5001,1619.470052
121825.191914,5001,1675.449903
162786.678293,5001,1731.45364
