#{"t_start": 1762985475.973442, "env_id": "None"}
r,l,t
-14453226.992998,5001,60.107125
-9159812.274532,5001,116.115917
-10801499.353149,5001,172.127501
-11563208.255408,5001,227.980707
-7753186.416019,5001,286.555882
-6870792.334537,5001,342.542079
-11215612.429122,5001,398.472441
-5623235.263361,5001,454.36814
-6842478.456704,5001,510.148475
-3373615.448855,5001,569.045336
-3960851.706539,5001,625.232741
-2818042.243742,5001,681.604175
-5443966.320507,5001,737.544659
-6066788.726058,5001,796.441577
-1290304.547814,5001,852.324533
-843768.241518,5001,912.13921
-4855629.770269,5001,971.049951
-517154.250617,5001,1032.958745
-209871.580178,5001,1095.748636
-419251.660216,5001,1156.842974
-90716.530878,5001,1219.481647
-784437.237408,5001,1278.275222
-97920.739266,5001,1337.12175
67227.027443,5001,1393.237566
-122490.468309,5001,1449.279508
84303.290316,5001,1505.348484
6207.862613,5001,1561.076652
127894.741899,5001,1619.555712
12458.228898,5001,1675.538119
125851.833753,5001,1731.545666
