#{"t_start": 1762964058.6909964, "env_id": "None"}
r,l,t
22009.65522,5001,61.213268
21527.560414,5001,120.246166
23266.945308,5001,178.712663
23229.866812,5001,237.276536
23080.650477,5001,318.895141
22978.990352,5001,377.70045
21929.184367,5001,436.25055
22930.871431,5001,495.209693
23214.604537,5001,553.501412
22254.530854,5001,636.527872
21839.742896,5001,694.182961
23304.657356,5001,752.372747
23376.593697,5001,811.353798
21941.687048,5001,893.292414
23406.688319,5001,951.181943
23453.747396,5001,1010.152375
23711.038763,5001,1075.737148
23609.782654,5001,1138.053933
23792.255888,5001,1226.133834
23989.790537,5001,1286.230187
