#{"t_start": 1762964058.3037448, "env_id": "None"}
r,l,t
21472.636586,5001,61.603463
22260.375425,5001,120.635506
22001.049309,5001,179.102551
21565.430796,5001,237.665565
23055.170149,5001,319.284751
23217.336861,5001,378.089657
21494.217894,5001,436.643578
23278.816174,5001,495.599153
22127.732489,5001,553.891211
22986.196566,5001,636.921203
21960.317812,5001,694.572925
23049.612226,5001,752.762631
23370.072253,5001,811.743643
22469.765236,5001,893.686385
23423.883853,5001,951.573897
23402.956532,5001,1010.543775
21621.196801,5001,1076.1264
23635.864142,5001,1138.445467
23756.301772,5001,1226.523358
23923.667092,5001,1286.619778
