#{"t_start": 1763054682.8410203, "env_id": "None"}
r,l,t
962103.76387,5001,78.067614
1092505.85122,5001,151.783825
1012457.540133,5001,228.391326
986020.960037,5001,303.572227
1144002.442006,5001,386.199828
913823.727733,5001,461.410749
1256903.612733,5001,538.170818
605558.45842,5001,608.332702
1141180.683045,5001,678.599981
1326964.930795,5001,754.528969
1342015.279091,5001,824.65281
1359823.885991,5001,893.839923
1318684.516957,5001,963.66731
1324272.792202,5001,1038.995276
1355792.607524,5001,1110.528991
1403993.989034,5001,1179.77853
1419312.297497,5001,1249.867252
1392941.473285,5001,1319.554292
1436856.674435,5001,1395.180326
1441999.017739,5001,1464.818895
1433521.902807,5001,1534.081015
1458673.7196,5001,1603.495431
1457518.992409,5001,1681.431167
1462275.690796,5001,1750.467766
1464278.992964,5001,1820.132823
1470604.638759,5001,1889.888244
1466880.881075,5001,1959.306206
1473058.311381,5001,2034.864033
1474690.092318,5001,2104.052051
1477934.017878,5001,2173.421469
1481164.61225,5001,2245.171147
1479211.328408,5001,2319.814907
1482503.278946,5001,2389.354327
1483747.342471,5001,2459.163163
1481344.998193,5001,2532.51142
1482441.830859,5001,2605.102958
1480911.472055,5001,2683.947103
1485225.66526,5001,2756.706279
1486844.467704,5001,2830.434601
1486222.388851,5001,2899.974837
1487183.118295,5001,2980.282508
1487577.873302,5001,3062.169512
1488333.015295,5001,3147.685144
1488306.460896,5001,3232.725805
1487696.067369,5001,3315.119585
1489041.335557,5001,3406.553643
1489460.500408,5001,3493.387257
1490003.881875,5001,3576.972325
1489947.162782,5001,3660.514702
1489770.554268,5001,3743.812293
1490727.695573,5001,3820.616311
1490088.736808,5001,3901.351105
1490756.56875,5001,3981.437508
1490786.50977,5001,4059.54126
1490117.853645,5001,4145.180801
1490724.077417,5001,4223.913547
1491635.047589,5001,4301.825369
1491534.211566,5001,4379.942063
1491542.687792,5001,4463.271761
1490636.160948,5001,4544.429147
1491445.738979,5001,4621.798659
1491645.692032,5001,4703.183495
1491140.385538,5001,4781.986797
