#{"t_start": 1763054682.6485076, "env_id": "None"}
r,l,t
1019124.183478,5001,78.253666
1049450.42444,5001,151.974359
1032623.849219,5001,228.581685
805061.296782,5001,303.762643
413811.40458,5001,386.38908
1133001.817609,5001,461.599489
517104.530907,5001,538.358948
1261295.83436,5001,608.521301
1328237.195823,5001,678.789945
1364477.830209,5001,754.717888
1323497.490816,5001,824.841783
1382514.697366,5001,894.029084
1348461.017505,5001,963.8563
1365548.232056,5001,1039.18541
1401093.587454,5001,1110.71839
1415149.398326,5001,1179.966887
1416606.399144,5001,1250.059302
1423065.159971,5001,1319.743319
1443478.712007,5001,1395.370656
1448371.643417,5001,1465.019235
1440811.786674,5001,1534.27162
1450313.792179,5001,1603.684883
1462843.054399,5001,1681.619413
1465920.394307,5001,1750.657382
1465737.732353,5001,1820.322134
1467992.157984,5001,1890.080784
1474600.925568,5001,1959.498
1473420.236353,5001,2035.053924
1474882.742955,5001,2104.241255
1474252.182626,5001,2173.610793
1470637.338594,5001,2245.361699
1477973.482983,5001,2320.003895
1481755.262442,5001,2389.54337
1480184.285343,5001,2459.356757
1483251.713986,5001,2532.695086
1483631.236323,5001,2605.291961
1485489.040675,5001,2684.123271
1486526.846419,5001,2756.891749
1486485.029046,5001,2830.618662
1485987.203314,5001,2900.163964
1488051.516866,5001,2980.472791
1487905.484595,5001,3062.358976
1487330.554382,5001,3147.874503
1488757.01514,5001,3232.910516
1489143.130598,5001,3315.311473
1487998.638312,5001,3406.743547
1489904.86085,5001,3493.577909
1488842.862946,5001,3577.162307
1489476.551686,5001,3660.699902
1489831.553385,5001,3743.998322
1490301.2478,5001,3820.805601
1490638.283175,5001,3901.540114
1491017.608803,5001,3981.627829
1490999.978554,5001,4059.730335
1491064.028874,5001,4145.371238
1490333.495035,5001,4224.102453
1491222.975716,5001,4302.028523
1491087.73356,5001,4380.126842
1491513.701192,5001,4463.459424
1491659.862187,5001,4544.62138
1491256.097657,5001,4621.987339
1491702.962791,5001,4703.368877
1491495.629413,5001,4782.174109
