#{"t_start": 1762970227.3950014, "env_id": "None"}
r,l,t
4.308774,1,3.054376
4.308774,1,3.068063
4.308774,1,3.07796
4.308774,1,3.087075
4.308774,1,3.096412
4.308774,1,3.107607
4.308774,1,3.115635
4.308774,1,3.125586
4.308774,1,3.134563
4.308774,1,3.145085
4.308774,1,3.153252
4.308774,1,3.165839
4.308774,1,3.174269
4.308774,1,3.181845
4.308774,1,3.191503
4.308774,1,3.200033
4.308774,1,3.211988
4.308774,1,3.220641
4.308774,1,3.228632
4.308774,1,3.239559
4.308774,1,3.249406
4.308774,1,3.256886
4.308774,1,3.271883
4.308774,1,3.283077
4.308774,1,3.292266
4.308774,1,3.301172
4.308774,1,3.310726
4.308774,1,3.320624
4.308774,1,3.329228
4.308774,1,3.338843
4.308774,1,3.348749
4.308774,1,3.357375
4.308774,1,3.376481
4.308774,1,3.390511
4.308774,1,3.401872
4.308774,1,3.418999
4.308774,1,3.433242
4.308774,1,3.446328
4.308774,1,3.460219
4.308774,1,3.468827
4.308774,1,3.481513
4.308774,1,3.496342
4.308774,1,3.507272
4.308774,1,3.518515
4.308774,1,3.527934
4.308774,1,3.535013
4.308774,1,3.546869
4.308774,1,3.557267
4.308774,1,3.565328
4.308774,1,3.577525
4.308774,1,3.58792
4.308774,1,3.59637
4.308774,1,3.605886
4.308774,1,3.614072
4.308774,1,3.624262
4.308774,1,3.633379
4.308774,1,3.643971
4.308774,1,3.654097
4.308774,1,3.66191
4.308774,1,3.672613
4.308774,1,3.682093
4.308774,1,3.693007
4.308774,1,3.701457
4.308774,1,3.711564
4.308774,1,3.722008
4.308774,1,3.730291
4.308774,1,3.741372
4.308774,1,3.749122
4.308774,1,3.759559
4.308774,1,3.770519
4.308774,1,3.781881
4.308774,1,3.7927
4.308774,1,3.798967
4.308774,1,3.810422
4.308774,1,3.817905
4.308774,1,3.829423
4.308774,1,3.838917
4.308774,1,3.848446
4.308774,1,3.856133
4.308774,1,3.866475
4.308774,1,3.877319
4.308774,1,3.888214
4.308774,1,3.897589
4.308774,1,3.909795
4.308774,1,3.921062
4.308774,1,3.928926
4.308774,1,3.940894
4.308774,1,3.947137
4.308774,1,3.957687
4.308774,1,3.967745
4.308774,1,3.979746
4.308774,1,3.99109
4.308774,1,4.000752
4.308774,1,4.010719
4.308774,1,4.019652
4.308774,1,4.030088
4.308774,1,4.037169
4.308774,1,4.048115
4.308774,1,4.057535
4.308774,1,4.066612
4.308774,1,4.076694
4.308774,1,4.087298
4.308774,1,4.096886
4.308774,1,4.106847
4.308774,1,4.117368
4.308774,1,4.125087
4.308774,1,4.134586
4.308774,1,4.143673
4.308774,1,4.152847
4.308774,1,4.161526
4.308774,1,4.174586
4.308774,1,4.182311
4.308774,1,4.194916
4.308774,1,4.205555
4.308774,1,4.213776
4.308774,1,4.223046
4.308774,1,4.232359
4.308774,1,4.241974
4.308774,1,4.251677
4.308774,1,4.261282
4.308774,1,4.269974
4.308774,1,4.28057
4.308774,1,4.291427
4.308774,1,4.302655
4.308774,1,4.311002
4.308774,1,4.32008
4.308774,1,4.329688
4.308774,1,4.338983
4.308774,1,4.348669
4.308774,1,4.358914
4.308774,1,4.370501
4.308774,1,4.384324
4.308774,1,4.402105
4.308774,1,4.416161
4.308774,1,4.430597
4.308774,1,4.437833
4.308774,1,4.450921
4.308774,1,4.467049
4.308774,1,4.474435
4.308774,1,4.486379
4.308774,1,4.499037
4.308774,1,4.508118
4.308774,1,4.518415
4.308774,1,4.524867
4.308774,1,4.535211
4.308774,1,4.545471
4.308774,1,4.557415
4.308774,1,4.566674
4.308774,1,4.576734
4.308774,1,4.582961
4.308774,1,4.59398
4.308774,1,4.60595
4.308774,1,4.615673
4.308774,1,4.625954
4.308774,1,4.632998
4.308774,1,4.643681
4.308774,1,4.654729
4.308774,1,4.662886
4.308774,1,4.674702
4.308774,1,4.680829
4.308774,1,4.692928
4.308774,1,4.703518
4.308774,1,4.71514
4.308774,1,4.722046
4.308774,1,4.733292
4.308774,1,4.744603
4.308774,1,4.751776
4.308774,1,4.762088
4.308774,1,4.772283
4.308774,1,4.779567
4.308774,1,4.791374
4.308774,1,4.801521
4.308774,1,4.810564
4.308774,1,4.821752
4.308774,1,4.831292
4.308774,1,4.841072
4.308774,1,4.850078
4.308774,1,4.859531
4.308774,1,4.869375
4.308774,1,4.878726
4.308774,1,4.886315
4.308774,1,4.89775
4.308774,1,4.909251
4.308774,1,4.917194
4.308774,1,4.928788
4.308774,1,4.939352
4.308774,1,4.945422
4.308774,1,4.956899
4.308774,1,4.966761
4.308774,1,4.976015
4.308774,1,4.985314
4.308774,1,4.99461
4.308774,1,5.004159
4.308774,1,5.017996
4.308774,1,5.024423
4.308774,1,5.035011
4.308774,1,5.04483
4.308774,1,5.055558
4.308774,1,5.063281
4.308774,1,5.073207
4.308774,1,5.082868
4.308774,1,5.090982
