#{"t_start": 1762982357.4376972, "env_id": "None"}
r,l,t
-6141394.616072,5001,61.588907
-6947599.408169,5001,118.689373
-10408712.858541,5001,174.633412
-7654680.135376,5001,229.519398
-13295097.499566,5001,287.504779
-7987789.145799,5001,345.919391
-6117268.898644,5001,411.810592
-6941775.362499,5001,474.49863
-11835332.101968,5001,538.468328
-7004538.81613,5001,601.034885
-9935990.059125,5001,661.391577
-9310880.47547,5001,723.188464
-6604519.575442,5001,789.747561
-5924194.899434,5001,851.478385
-168920.455978,5001,912.962754
-5713206.174487,5001,969.833268
-164208.559052,5001,1028.521227
-4699737.136307,5001,1082.950534
-2513065.866808,5001,1140.15818
-3510985.020186,5001,1194.578674
-3415900.381863,5001,1252.639909
-2331863.418726,5001,1312.442661
-1043822.92732,5001,1376.526663
-1132875.543132,5001,1436.738251
-401877.04683,5001,1497.410589
-626257.555363,5001,1568.286894
-353254.174123,5001,1629.392509
-555055.746014,5001,1689.984816
-346770.158552,5001,1747.40055
-315460.584714,5001,1810.95279
