#{"t_start": 1762982359.4604707, "env_id": "None"}
r,l,t
-16203225.162238,5001,59.561476
-6916176.644761,5001,116.660262
-7228498.238876,5001,172.605843
-10702404.872029,5001,227.493991
-14288982.761501,5001,285.474806
-10401852.481946,5001,343.891787
-803274.982989,5001,409.787831
-7038134.419157,5001,472.471744
-5800514.251277,5001,536.441502
-10158929.415091,5001,599.003119
-8789532.606024,5001,659.369988
-9518981.151179,5001,721.157858
-6820760.412507,5001,787.716742
-4348608.238763,5001,849.45521
-4553979.765016,5001,910.937115
-5034505.627628,5001,967.802085
-4037838.893699,5001,1026.490202
-4312104.517408,5001,1080.922686
-1865464.179223,5001,1138.127793
-2779905.590112,5001,1192.548521
-614065.260621,5001,1250.614635
-539950.961332,5001,1310.415266
-1399458.376214,5001,1374.503842
-816555.824412,5001,1434.710682
-729208.133628,5001,1495.378515
-299056.259831,5001,1566.25681
-1500976.793089,5001,1627.360182
-7340.564249,5001,1687.955587
-350001.919129,5001,1745.375529
-161845.780328,5001,1808.922578
