#{"t_start": 1762966994.73553, "env_id": "None"}
r,l,t
4.308774,1,1.625589
4.308774,1,1.636919
4.308774,1,1.647489
4.308774,1,1.656726
4.308774,1,1.666745
4.308774,1,1.674559
4.308774,1,1.683346
4.308774,1,1.692289
4.308774,1,1.701329
4.308774,1,1.710467
4.308774,1,1.719748
4.308774,1,1.728503
4.308774,1,1.739927
4.308774,1,1.751421
4.308774,1,1.760526
4.308774,1,1.767692
4.308774,1,1.776479
4.308774,1,1.787343
4.308774,1,1.794855
4.308774,1,1.803891
4.308774,1,1.813007
4.308774,1,1.822918
4.308774,1,1.831279
4.308774,1,1.843536
4.308774,1,1.852381
4.308774,1,1.861929
4.308774,1,1.870856
4.308774,1,1.882003
4.308774,1,1.889392
4.308774,1,1.898964
4.308774,1,1.907791
4.308774,1,1.919703
4.308774,1,1.925873
4.308774,1,1.934994
4.308774,1,1.945793
4.308774,1,1.955493
4.308774,1,1.966743
4.308774,1,1.973936
4.308774,1,1.981542
4.308774,1,1.991693
4.308774,1,2.000684
4.308774,1,2.010017
4.308774,1,2.019541
4.308774,1,2.030017
4.308774,1,2.040931
4.308774,1,2.053057
4.308774,1,2.061944
4.308774,1,2.070898
4.308774,1,2.080049
4.308774,1,2.089099
4.308774,1,2.100358
4.308774,1,2.10781
4.308774,1,2.116676
4.308774,1,2.128453
4.308774,1,2.134567
4.308774,1,2.14565
4.308774,1,2.155746
4.308774,1,2.164865
4.308774,1,2.174165
4.308774,1,2.183658
4.308774,1,2.192516
4.308774,1,2.203231
4.308774,1,2.212389
4.308774,1,2.219436
4.308774,1,2.231376
4.308774,1,2.238799
4.308774,1,2.247194
4.308774,1,2.258743
4.308774,1,2.268055
4.308774,1,2.27897
4.308774,1,2.289919
4.308774,1,2.296196
4.308774,1,2.307505
4.308774,1,2.317386
4.308774,1,2.322665
4.308774,1,2.332907
4.308774,1,2.341803
4.308774,1,2.350786
4.308774,1,2.362248
4.308774,1,2.371438
4.308774,1,2.379726
4.308774,1,2.389534
4.308774,1,2.398559
4.308774,1,2.410395
4.308774,1,2.41681
4.308774,1,2.427794
4.308774,1,2.434931
4.308774,1,2.444387
4.308774,1,2.453253
4.308774,1,2.467428
4.308774,1,2.474372
4.308774,1,2.484556
4.308774,1,2.494598
4.308774,1,2.501751
4.308774,1,2.509667
4.308774,1,2.52235
4.308774,1,2.529501
4.308774,1,2.541692
4.308774,1,2.548252
4.308774,1,2.557805
4.308774,1,2.56892
4.308774,1,2.580117
4.308774,1,2.587309
4.308774,1,2.596165
4.308774,1,2.605112
4.308774,1,2.615279
4.308774,1,2.623083
4.308774,1,2.632143
4.308774,1,2.641726
4.308774,1,2.650429
4.308774,1,2.660197
4.308774,1,2.671793
4.308774,1,2.679808
4.308774,1,2.689842
4.308774,1,2.699014
4.308774,1,2.707936
4.308774,1,2.719242
4.308774,1,2.726177
4.308774,1,2.735272
4.308774,1,2.746545
4.308774,1,2.753466
4.308774,1,2.762547
4.308774,1,2.778523
4.308774,1,2.784806
4.308774,1,2.796589
4.308774,1,2.80284
4.308774,1,2.814005
4.308774,1,2.82073
4.308774,1,2.829715
4.308774,1,2.83983
4.308774,1,2.848377
4.308774,1,2.857195
4.308774,1,2.866931
4.308774,1,2.87727
4.308774,1,2.889739
4.308774,1,2.898097
4.308774,1,2.908714
4.308774,1,2.91587
4.308774,1,2.924989
4.308774,1,2.934296
4.308774,1,2.942839
4.308774,1,2.955525
4.308774,1,2.963484
4.308774,1,2.970498
4.308774,1,2.982552
4.308774,1,2.991539
4.308774,1,3.002536
4.308774,1,3.009778
4.308774,1,3.020801
