#{"t_start": 1762973923.8375237, "env_id": "None"}
r,l,t
-328155.902443,5001,65.770379
-6512772.342052,5001,129.386122
-357166.119443,5001,189.247073
-4486103.609506,5001,249.98573
-2181898.892394,5001,333.87141
-3161469.142766,5001,395.215429
-385683.095648,5001,455.200578
-4886795.189483,5001,515.569643
-4537752.745393,5001,575.90906
-368691.925192,5001,660.470117
-3896398.37221,5001,720.715389
-447499.479731,5001,781.927991
-360313.597345,5001,842.693132
-401243.94001,5001,928.401266
-571344.174787,5001,990.624828
-3066220.354248,5001,1052.622549
-4808081.72127,5001,1114.488808
-338975.490321,5001,1177.737198
-313189.96323,5001,1268.95706
-1296215.85128,5001,1333.913199
-1943048.02597,5001,1396.700595
-1022382.523771,5001,1461.777907
-2174309.196181,5001,1546.546042
-378914.804252,5001,1605.571641
-537034.64149,5001,1664.882983
-279321.665255,5001,1724.096747
-578892.107645,5001,1783.32654
-483499.800351,5001,1867.592347
-406538.35358,5001,1930.209092
-448077.139968,5001,1995.349628
-497914.666934,5001,2059.922275
-556739.262259,5001,2144.75901
-230467.728104,5001,2209.808536
-99059.854696,5001,2274.828998
-172851.142848,5001,2339.987137
-94996.173004,5001,2405.412864
-95794.933448,4408,2492.081098
-72391.722384,5001,2553.938577
-44495.481934,5001,2619.647626
-27014.538091,5001,2681.676847
-27585.807791,5001,2745.770789
-24335.031334,5001,2835.141513
-6530.402808,5001,2897.865731
-3920.283794,5001,2962.665219
10933.352866,5001,3028.305091
5930.249872,4299,3089.41141
-825340.504097,5001,3176.194588
21363.431543,5001,3237.970002
17636.392894,5001,3298.455687
15658.263109,4950,3358.248233
22716.632549,4969,3418.089042
21810.605233,5001,3502.267486
-136420.494439,5001,3562.538242
28134.018986,5001,3621.978847
28836.834754,4894,3681.385393
32136.279473,5001,3765.630064
31185.536279,5001,3825.118093
15767.105023,5001,3885.676848
31859.994872,5001,3946.220798
33134.512209,5001,4005.938726
10963.602915,5001,4090.100168
32661.910586,5001,4150.36421
25928.766437,5001,4210.673536
19390.36818,5001,4270.732564
-12924.011553,5001,4331.201587
28735.071924,5001,4415.191777
2881.981734,5001,4475.785216
-21979.613314,5001,4535.951422
31651.556648,5001,4595.777191
8004.779649,5001,4680.088423
15402.900124,5001,4739.689503
-465.577082,5001,4799.768519
-1319.354381,5001,4859.749629
10054.088667,5001,4919.323349
19105.752405,5001,5004.008933
23832.653466,5001,5063.994672
22226.016274,5001,5123.860326
29547.904311,5001,5183.972927
17311.042186,5001,5267.517652
14803.265193,5001,5327.424672
