#{"t_start": 1762965551.638643, "env_id": "None"}
r,l,t
21433.683217,5001,64.900486
20884.269492,5001,126.990219
20411.3232,5001,192.92571
22984.166874,5001,253.546607
20532.414295,5001,340.437464
20970.35649,5001,402.369536
23153.477155,5001,463.071028
23039.385732,5001,525.778963
22932.79203,5001,585.716852
21201.127882,5001,673.84374
22803.638062,5001,735.869051
22925.04289,5001,797.360658
23288.995569,5001,862.900221
20893.424667,5001,949.954266
21718.130632,5001,1012.348887
23329.472354,5001,1072.788265
21368.955195,5001,1132.281835
23536.392363,5001,1192.831245
23467.962696,5001,1276.963894
23707.222451,5001,1337.935409
