#{"t_start": 1762965551.8036, "env_id": "None"}
r,l,t
21331.072903,5001,64.732272
21551.349464,5001,126.821832
21285.579428,5001,192.754408
22727.507871,5001,253.377786
21091.413841,5001,340.269489
20966.337162,5001,402.201961
20731.760403,5001,462.900021
21186.673808,5001,525.611865
23059.852047,5001,585.546008
21431.349053,5001,673.674142
22713.92533,5001,735.701058
21615.651668,5001,797.190086
23316.223126,5001,862.728883
23233.089074,5001,949.784573
23368.132825,5001,1012.180966
23309.261714,5001,1072.617292
23430.198264,5001,1132.108959
23428.263332,5001,1192.661145
23709.824225,5001,1276.792996
22731.657759,5001,1337.767907
