#{"t_start": 1762965551.2223682, "env_id": "None"}
r,l,t
22831.279964,5001,65.313635
20932.074913,5001,127.403185
20791.832905,5001,193.335897
21054.224407,5001,253.958926
23070.420534,5001,340.850817
23227.297552,5001,402.783264
22891.665266,5001,463.481368
22927.187254,5001,526.193285
20976.578291,5001,586.127312
23090.134638,5001,674.253594
20755.556829,5001,736.282518
21226.120346,5001,797.77143
23004.851735,5001,863.310492
23134.329395,5001,950.36597
23133.962606,5001,1012.762317
21308.646746,5001,1073.198899
21361.717505,5001,1132.690386
23078.631356,5001,1193.242765
23040.731805,5001,1277.374444
22009.012404,5001,1338.349395
