#{"t_start": 1762961064.4555387, "env_id": "None"}
r,l,t
22056.719342,5001,59.334473
23416.693054,5001,117.837197
22785.914588,5001,175.066465
22650.722611,5001,232.460003
22698.368221,5001,315.666317
22355.53463,5001,375.662958
23546.979778,5001,441.281674
22595.948284,5001,503.697309
23572.297921,5001,569.020794
23526.330805,5001,665.803297
23606.887826,5001,724.646661
23489.398908,5001,781.942495
23714.873194,5001,839.923219
22297.207444,5001,924.140368
23619.860098,5001,981.553271
23966.009083,5001,1038.975039
24024.40003,5001,1100.50475
24141.318351,5001,1164.106964
24067.499827,5001,1253.079584
24191.459409,5001,1321.460943
22674.39726,5001,1384.537811
24471.200894,5001,1446.567453
24342.235749,5001,1537.233114
24344.253763,5001,1596.56452
24410.101463,5001,1653.897917
24712.577686,5001,1711.493197
24645.086654,5001,1768.513508
24671.750055,5001,1848.097239
24168.18808,5001,1904.208394
24894.696989,5001,1961.266406
24876.465184,5001,2017.794734
24761.595579,5001,2098.73119
24647.879767,5001,2155.949253
24740.6727,5001,2212.477191
24726.530874,5001,2269.419505
24913.994623,5001,2326.441094
24377.483528,5001,2406.484597
24419.605545,5001,2463.365122
23151.535108,5001,2520.569557
25012.278575,5001,2577.838768
