#{"t_start": 1762972339.9702396, "env_id": "None"}
r,l,t
-5095497.313529,5001,71.435734
-6470888.65101,5001,136.231761
-1766958.384312,4301,194.810507
-4104768.004338,5001,258.989508
-5741690.315701,5001,323.470105
-2799183.53923,5001,412.673395
-1003677.577816,5001,478.06394
-464476.325331,5001,538.188174
-1466042.364193,5001,597.594963
-6640483.952868,5001,680.788355
-3281107.471972,5001,740.03634
-384344.518134,5001,799.280209
-461140.716697,5001,861.899445
-3914276.052745,5001,926.791124
-388158.045875,5001,1014.053354
-244239.364966,5001,1074.048331
-378775.953501,5001,1135.607186
-447695.0164,5001,1200.417328
-1829213.499742,5001,1290.684136
-445781.570514,5001,1354.146855
