#{"t_start": 1762972341.8208084, "env_id": "None"}
r,l,t
-3619992.80438,5001,69.583307
-3891434.132186,5001,134.388005
-4482570.650873,5001,198.466447
-381250.472247,5001,262.423273
-6741645.959725,5001,351.720258
-2148109.357371,5001,416.464778
-261437.071586,5001,481.365704
-3276098.579986,5001,541.404678
-488836.611872,5001,600.790498
-294552.431425,5001,683.959501
-365930.12553,5001,743.221209
-373198.053832,5001,802.561875
-3040849.953863,5001,865.436706
-449122.699662,5001,956.299262
-3124137.628259,5001,1017.328666
-3231756.227207,5001,1077.290808
-3566673.794784,5001,1139.129005
-369396.622282,5001,1203.797394
-275173.772379,5001,1294.119492
-347675.40306,5001,1357.560568
