#{"t_start": 1762972341.8375, "env_id": "None"}
r,l,t
-341905.362155,5001,69.572299
-4669536.452487,5001,134.367787
-6584804.533354,5001,198.451004
-7020250.664906,5001,262.405667
-3948170.189258,5001,351.700063
-346134.604201,5001,416.44951
-3348317.56868,5001,481.349349
-4319745.975929,5001,541.388938
-5851556.230373,5001,600.770439
-3545903.533934,5001,683.942128
-4000702.53627,5001,743.206569
-526457.228157,5001,802.543212
-3543699.199673,5001,865.41811
-2510750.800169,5001,956.280227
-375686.09607,5001,1017.311447
-357670.270034,5001,1077.275752
-1036365.939709,5001,1139.113667
-2845542.424553,5001,1203.781425
-216313.856602,5001,1294.103649
-1269594.780669,5001,1357.544298
