#{"t_start": 1762972343.215697, "env_id": "None"}
r,l,t
-5311391.535393,5001,68.187553
-4961704.19646,5001,132.985949
-6489967.392023,5001,197.066369
-333283.069196,5001,261.023371
-3905304.646122,5001,350.320018
-2084529.336353,5001,415.067442
-3764586.527831,5001,479.96673
-861876.247427,5001,540.005023
-333360.215939,5001,599.389991
-709045.136122,5001,682.561949
-2911899.662682,5001,741.824152
-787914.886018,5001,801.1627
-1943184.57564,5001,864.036049
-2578929.523826,5001,954.899472
-442338.355114,5001,1015.929151
-1878674.772209,5001,1075.891722
-284204.247514,5001,1137.729506
-260604.802644,5001,1202.397203
-240459.89931,5001,1292.722024
-311105.417777,5001,1356.161141
