#{"t_start": 1762972342.470635, "env_id": "None"}
r,l,t
-5445288.501541,5001,68.933569
-7555292.491556,5001,133.733735
-973278.965319,5001,197.813713
-322218.266553,5001,261.770612
-423908.746175,5001,351.070347
-548852.029887,5001,415.814954
-3703061.225425,5001,480.71445
-505388.283884,5001,540.755707
-268173.645025,5001,600.139267
-2871920.595644,5001,683.309535
-3091413.653045,5001,742.571393
-4656650.783658,5001,801.91197
-464088.714715,5001,864.783278
-429013.956372,5001,955.649378
-325401.730663,5001,1016.680076
-609468.44038,5001,1076.638604
-257331.175876,5001,1138.477271
-3191158.248036,5001,1203.146495
-165158.070211,5001,1293.471887
-1389185.555281,5001,1356.908357
