#{"t_start": 1762993621.6378443, "env_id": "None"}
r,l,t
343430.570025,5001,70.038804
308825.58143,5001,134.361087
-5570882.886623,5001,198.946474
-13762394.831806,5001,263.74199
-9780976.966952,5001,334.634845
-848884.988454,5001,398.60843
-35778399.178987,5001,463.006198
-8352091.531511,5001,527.483646
-2395958.962035,5001,591.545918
-7073265.975413,5001,662.242598
-300333.187189,5001,726.53469
-504052.062143,5001,791.093892
-11058081.113438,5001,856.182247
-3599262.8717,5001,927.10583
-2104414.973877,5001,987.143719
-1883055.654107,5001,1047.932941
-502112.059079,5001,1108.286342
-694381.623307,5001,1168.55411
-1872415.419152,5001,1234.843674
-12775721.868857,3360,1277.621167
-983005.644295,5001,1339.53285
-1909399.004506,5001,1399.585659
-3628134.753844,5001,1460.689573
-1228556.003827,5001,1522.020848
-3119026.352122,5001,1589.104861
