#{"t_start": 1762993622.3009272, "env_id": "None"}
r,l,t
-321801.618344,5001,69.384502
-2023684.512621,5001,133.709998
-5916028.007945,5001,198.289991
-11451893.924357,5001,263.087617
-3236255.642989,5001,333.980157
-102398.716743,5001,397.95201
-35815182.862121,5001,462.351512
-7453547.971254,5001,526.831271
-12261278.760198,3565,574.335991
-1728928.783477,5001,638.325192
-11721993.952308,3186,681.745
-365051.43466,5001,746.051851
-3062576.718877,5001,817.267911
-5259379.819504,5001,883.096263
-1830212.792305,5001,945.305418
-1840065.589619,5001,1005.692546
-2309316.944793,5001,1066.349007
-2504206.291071,5001,1132.782387
-239682.036925,5001,1192.817637
-1891046.396638,5001,1253.200227
-11282559.581152,3685,1300.106826
-483871.57144,5001,1361.32096
-1972832.108455,5001,1421.798101
-4188314.482111,5001,1489.109375
-1249270.379978,5001,1550.241178
-271790.955187,5001,1611.356714
